County_Name,State_FIPS,Total_Incidents,Total_Victims_Killed,Total_Victims_Injured,Total_Suspects_Killed,Total_Suspects_Injured
St. John the Baptist,22.0,6,2,28,0.0,0.0
Roanoke,51.0,5,0,20,0.0,3.0
Webster,54.0,5,5,0,0.0,0.0
Gadsden,12.0,5,6,23,3.0,0.0
Madison,1.0,5,0,22,0.0,0.0
Osceola,12.0,5,5,6,0.0,0.0
Anderson,45.0,5,5,33,0.0,0.0
Kankakee,17.0,5,6,23,0.0,2.0
Doña Ana,35.0,5,11,51,0.0,0.0
Stark,39.0,5,8,12,2.0,0.0
Wasatch,49.0,5,5,0,0.0,0.0
Washington,24.0,5,6,16,0.0,2.0
Lincoln,22.0,5,5,29,0.0,0.0
Johnson,19.0,5,2,18,0.0,0.0
Grant,53.0,5,7,16,0.0,5.0
Benton,53.0,5,6,17,2.0,0.0
Williamsburg,45.0,5,6,22,0.0,0.0
Danville,51.0,5,5,18,0.0,0.0
Sunflower,28.0,5,2,42,4.0,0.0
Skagit,53.0,5,3,25,0.0,0.0
Butler,39.0,5,11,9,0.0,0.0
Atlantic,34.0,4,4,14,0.0,0.0
Oneida,36.0,4,2,14,0.0,0.0
Rusk,48.0,4,4,12,0.0,0.0
Clarke,13.0,4,2,18,0.0,0.0
Butte,6.0,4,4,18,0.0,0.0
Clermont,39.0,4,12,4,2.0,0.0
Beaufort,45.0,4,0,16,0.0,0.0
Buchanan,29.0,4,0,18,0.0,0.0
San Mateo,6.0,4,2,16,0.0,0.0
Craighead,5.0,4,6,16,2.0,0.0
Chambers,1.0,4,0,26,0.0,0.0
Craven,37.0,4,8,8,2.0,0.0
Quitman,28.0,4,4,16,0.0,0.0
Brazos,48.0,4,2,18,0.0,0.0
Dakota,27.0,4,6,12,2.0,0.0
New Hanover,37.0,4,6,16,0.0,0.0
Neshoba,28.0,4,2,20,0.0,0.0
Navarro,48.0,4,18,4,2.0,0.0
Wilson,37.0,4,4,12,0.0,0.0
Polk,48.0,4,12,4,2.0,0.0
Anchorage,2.0,4,4,16,0.0,0.0
Brazoria,48.0,4,4,14,0.0,0.0
Wayne,37.0,4,2,18,0.0,0.0
Pasquotank,37.0,4,6,14,0.0,0.0
San Jacinto,48.0,4,14,6,0.0,0.0
Wyandotte,20.0,4,10,22,0.0,0.0
Cape Girardeau,29.0,4,0,18,0.0,2.0
Baldwin,1.0,4,14,30,0.0,0.0
Ottawa,26.0,4,0,16,0.0,0.0
Berks,42.0,4,4,12,0.0,0.0
Pitt,37.0,4,4,16,0.0,0.0
Berrien,26.0,4,6,18,0.0,0.0
Rock Island,17.0,4,4,18,0.0,0.0
Pittsylvania,51.0,4,6,18,2.0,0.0
Chittenden,50.0,4,4,0,0.0,0.0
Plymouth,25.0,4,8,10,2.0,0.0
Cabell,54.0,4,4,18,0.0,0.0
Bladen,37.0,4,6,10,0.0,0.0
Woodbury,19.0,4,2,16,0.0,0.0
Orange,36.0,4,6,10,0.0,0.0
Orange,48.0,4,0,16,0.0,0.0
Stephenson,17.0,4,4,16,0.0,0.0
Madison,18.0,4,0,26,0.0,2.0
Jefferson,13.0,4,4,16,0.0,0.0
Harrison,48.0,4,2,18,0.0,0.0
Dutchess,36.0,4,0,18,0.0,0.0
Harford,24.0,4,2,14,0.0,0.0
Ector,48.0,4,16,54,2.0,0.0
Jones,28.0,4,0,18,0.0,0.0
Hampton,45.0,4,2,32,0.0,0.0
Spokane,53.0,4,2,14,0.0,0.0
Shasta,6.0,4,6,16,0.0,0.0
Minnehaha,46.0,4,4,12,0.0,0.0
Hampden,25.0,4,2,16,0.0,0.0
St. Landry,22.0,4,4,16,0.0,0.0
Halifax,37.0,4,2,20,0.0,0.0
Jackson,17.0,4,2,14,0.0,0.0
Greenville,45.0,4,6,22,0.0,0.0
Forrest,28.0,4,2,14,0.0,0.0
Nacogdoches,48.0,4,4,12,0.0,0.0
McCracken,21.0,4,2,14,0.0,2.0
Galveston,48.0,4,4,12,0.0,0.0
Merced,6.0,4,2,14,0.0,0.0
Tuscaloosa,1.0,4,0,18,0.0,2.0
Greene,29.0,4,8,12,2.0,0.0
Monterey,6.0,4,8,28,0.0,0.0
Houston,13.0,4,2,16,0.0,0.0
Scott,19.0,4,0,18,0.0,0.0
Lake,39.0,4,10,6,2.0,0.0
Darlington,45.0,4,6,14,0.0,0.0
Washington,22.0,4,0,44,0.0,2.0
Henry,13.0,4,12,10,4.0,0.0
Sonoma,6.0,4,2,14,0.0,0.0
Delaware,18.0,4,4,46,0.0,2.0
Tipton,47.0,4,2,16,0.0,0.0
Kenton,21.0,4,0,18,0.0,0.0
Morgan,1.0,4,20,2,0.0,0.0
DuPage,17.0,4,4,54,0.0,0.0
Lancaster,31.0,4,0,24,0.0,0.0
Warren,28.0,4,2,14,0.0,0.0
Macon,1.0,4,4,36,0.0,0.0
Suffolk,51.0,4,6,12,2.0,0.0
Waller,48.0,4,2,20,0.0,0.0
Montgomery,47.0,4,0,20,4.0,0.0
St. Lucie,12.0,4,2,24,0.0,0.0
Kane,17.0,4,12,18,2.0,0.0
St. Louis,27.0,4,16,0,4.0,0.0
Gaston,37.0,4,2,22,0.0,0.0
Cambria,42.0,3,0,12,0.0,0.0
Spotsylvania,51.0,3,9,9,0.0,3.0
Buncombe,37.0,3,0,12,3.0,0.0
Big Horn,56.0,3,12,0,3.0,0.0
Jackson,26.0,3,3,9,0.0,0.0
Liberty,48.0,3,6,12,0.0,0.0
Lee,37.0,3,0,15,0.0,3.0
Catawba,37.0,3,3,36,0.0,0.0
Talladega,1.0,3,12,0,0.0,0.0
Mercer,42.0,3,0,12,0.0,0.0
Washington,28.0,3,0,12,0.0,0.0
Deer Lodge,30.0,3,12,0,0.0,0.0
Midland,48.0,3,0,12,0.0,0.0
Yazoo,28.0,3,1,12,0.0,0.0
Columbia,41.0,3,3,9,3.0,0.0
Cassia,16.0,3,12,0,0.0,0.0
Jefferson,17.0,3,6,15,0.0,0.0
Wayne,28.0,3,0,15,0.0,0.0
Juneau,55.0,3,3,0,0.0,0.0
Tate,28.0,2,12,0,0.0,0.0
