Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Coordinate_Display,Google_Maps_Link,Latitude,Longitude,Geocoding Match,Matched Address
1950346,"March 11, 2021",New Mexico,Ohkay Owingeh,89 Co Rd 56,1,3,0,0,1,,"36.071361, -106.103538","https://www.google.com/maps?q=36.071360922917,-106.103537741041",36.071360922917,-106.103537741041,Match,"89 CO RD 56, OHKAY OWINGEH, NM, 87566"
1949977,"March 10, 2021",Texas,Houston,6300 Ranchester Dr,3,1,0,0,3,,"29.709864, -95.545561","https://www.google.com/maps?q=29.709863693326,-95.545560951493",29.709863693326,-95.545560951493,Match,"6300 RANCHESTER DR, HOUSTON, TX, 77036"
1948233,"March 8, 2021",Florida,Clearwater,US-19 and Drew St,1,3,0,0,1,,"27.965998, -82.803705","https://www.google.com/maps?q=27.965998281354,-82.803705403733",27.965998281354,-82.803705403733,Match,"19 DREW ST, CLEARWATER, FL, 33755"
1948470,"March 7, 2021",Mississippi,Edwards,607 Wallace Dr,0,4,0,0,1,,"32.337626, -90.597169","https://www.google.com/maps?q=32.337625514312,-90.597168562249",32.337625514312,-90.597168562249,Match,"607 WALLACE DR, EDWARDS, MS, 39066"
1947241,"March 6, 2021",California,Yuba City,Countryside Dr and Littlejohn Dr,2,3,0,0,0,,"39.125479, -121.639226","https://www.google.com/maps?q=39.125478886276,-121.639225738164",39.125478886276,-121.639225738164,Match,"COUNTRYSIDE DR & LITTLEJOHN RD, YUBA CITY, CA, 95993"
1945999,"March 6, 2021",North Carolina,Fayetteville,200 block of Shads Ford Blvd,1,4,0,0,0,,"35.079221, -79.005875","https://www.google.com/maps?q=35.079220799599,-79.00587544591",35.079220799599,-79.00587544591,Match,"200 SHADSFORD BLVD, FAYETTEVILLE, NC, 28314"
1946991,"March 5, 2021",California,Compton,609 N Long Beach Blvd,1,4,0,0,0,,"33.900053, -118.208296","https://www.google.com/maps?q=33.900052834973,-118.208296135622",33.900052834973,-118.208296135622,Match,"609 N LONG BEACH BLVD, COMPTON, CA, 90221"
1944507,"March 4, 2021",District of Columbia,Washington,3900 Martin Luther King Jr Ave SW,0,5,0,0,0,,"38.832796, -77.008757","https://www.google.com/maps?q=38.832795735888,-77.00875724231",38.832795735888,-77.00875724231,Match,"3900 MARTIN LUTHER KING JR AVE SW, WASHINGTON, DC, 20032"
1943986,"March 3, 2021",Pennsylvania,Erie,2105 Buffalo Rd,2,3,0,0,1,,"42.133840, -80.029698","https://www.google.com/maps?q=42.133839756407,-80.029698213793",42.133839756407,-80.029698213793,Match,"2105 BUFFALO RD, ERIE, PA, 16510"
1941382,"February 28, 2021",Ohio,Cincinnati,3600 block of Idlewild Ave,3,2,0,1,0,,"39.144995, -84.472731","https://www.google.com/maps?q=39.144994644293,-84.472730909681",39.144994644293,-84.472730909681,Match,"3600 IDLEWILD AVE, CINCINNATI, OH, 45207"
