Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Coordinate_Display,Google_Maps_Link,Latitude,Longitude,Geocoding Match,Matched Address,County_Name,County_FIPS,State_FIPS,County_State
1365100,"April 7, 2019",Louisiana,Shreveport,433 Flournoy Lucas Rd,0,4,0,0,2,,"32.390948, -93.764187","https://www.google.com/maps?q=32.390947855813,-93.764186676634",32.390947855813,-93.764186676634,Match,"433 FLOURNOY LUCAS RD, SHREVEPORT, LA, 71106",Caddo,017,22,"Caddo, 22"
1364443,"April 6, 2019",Florida,Tallahassee,500 block of Kissimmee St,0,4,0,0,0,,"30.422652, -84.289716","https://www.google.com/maps?q=30.422652328996,-84.289715731347",30.422652328996,-84.289715731347,Match,"500 KISSIMMEE ST, TALLAHASSEE, FL, 32310",Leon,073,12,"Leon, 12"
1364540,"April 6, 2019",Illinois,Chicago,6300 block of S Seeley Ave,0,6,0,0,0,,"41.778735, -87.675189","https://www.google.com/maps?q=41.778734639597,-87.675189392621",41.778734639597,-87.675189392621,Match,"6300 S SEELEY AVE, CHICAGO, IL, 60636",Cook,031,17,"Cook, 17"
1363737,"April 4, 2019",Florida,Panama City,100 block of Allen Ave,1,3,0,0,1,,"30.145975, -85.654558","https://www.google.com/maps?q=30.145974698876,-85.654558347615",30.145974698876,-85.654558347615,Match,"100 ALLEN AVE, PANAMA CITY, FL, 32401",Bay,005,12,"Bay, 12"
1362715,"April 4, 2019",Georgia,Stockbridge,300 block of Eagle Ct,2,2,1,0,0,,"33.527114, -84.241025","https://www.google.com/maps?q=33.527114312191,-84.241025120431",33.527114312191,-84.241025120431,Match,"300 EAGLE CT, STOCKBRIDGE, GA, 30281",Henry,151,13,"Henry, 13"
1362364,"April 2, 2019",Mississippi,Hermanville,13195 MS 18,0,4,0,0,1,,13195 MS 18,,,,No_Match,,,,,
1362182,"April 2, 2019",Kentucky,Covington,337 E 13th St,0,5,0,0,2,,"39.077318, -84.502674","https://www.google.com/maps?q=39.077317959981,-84.502673761712",39.077317959981,-84.502673761712,Match,"337 E 13TH ST, COVINGTON, KY, 41011",Kenton,117,21,"Kenton, 21"
1360333,"March 31, 2019",Georgia,Atlanta,3041 Landrum Dr SW,1,4,0,0,0,,"33.706448, -84.487029","https://www.google.com/maps?q=33.706448402922,-84.487029143799",33.706448402922,-84.487029143799,Match,"3041 LANDRUM DR SW, ATLANTA, GA, 30311",Fulton,121,13,"Fulton, 13"
1359599,"March 31, 2019",South Carolina,North Charleston,1900 block of Jacksonville Rd,0,7,0,0,1,,"32.847258, -79.961126","https://www.google.com/maps?q=32.847258388264,-79.961126461544",32.847258388264,-79.961126461544,Match,"1900 JACKSONVILLE RD, NORTH CHARLESTON, SC, 29405",Charleston,019,45,"Charleston, 45"
1359455,"March 31, 2019",Illinois,Chicago,500 block of N Hamlin Ave,1,4,0,0,0,,"41.889963, -87.721115","https://www.google.com/maps?q=41.889963369085,-87.721115106893",41.889963369085,-87.721115106893,Match,"500 N HAMLIN AVE, CHICAGO, IL, 60624",Cook,031,17,"Cook, 17"
1357591,"March 28, 2019",Maryland,Baltimore,6200 block of Boston St,0,4,0,0,0,,"39.278068, -76.541616","https://www.google.com/maps?q=39.278068314565,-76.541615764118",39.278068314565,-76.541615764118,Match,"6200 BOSTON ST, BALTIMORE, MD, 21224",Baltimore,510,24,"Baltimore, 24"
1355275,"March 25, 2019",Nevada,North Las Vegas,2400 block of W San Miguel St,0,5,0,0,2,,2400 block of W San Miguel St,,,,No_Match,,,,,
1354049,"March 24, 2019",Arizona,Phoenix,2202 W McDowell Rd,0,7,0,0,1,,"33.465932, -112.106492","https://www.google.com/maps?q=33.465931638849,-112.106492034931",33.465931638849,-112.106492034931,Match,"2202 W MCDOWELL RD, PHOENIX, AZ, 85009",Maricopa,013,04,"Maricopa, 04"
1353714,"March 23, 2019",California,San Francisco,1300 Fillmore St,0,5,1,0,0,,"37.781494, -122.432268","https://www.google.com/maps?q=37.781493630938,-122.432268058711",37.781493630938,-122.432268058711,Match,"1300 FILLMORE ST, SAN FRANCISCO, CA, 94115",San Francisco,075,06,"San Francisco, 06"
1350494,"March 19, 2019",Arizona,Phoenix,8526 N 27th Ave,2,4,0,0,1,,"33.560850, -112.117005","https://www.google.com/maps?q=33.56085037456,-112.117004944008",33.56085037456,-112.117004944008,Match,"8526 N 27TH AVE, PHOENIX, AZ, 85051",Maricopa,013,04,"Maricopa, 04"
1348844,"March 17, 2019",Georgia,Augusta,900 block of Broad St,0,4,0,0,1,,"33.475832, -81.967627","https://www.google.com/maps?q=33.47583176865,-81.967626882444",33.47583176865,-81.967626882444,Match,"900 BROAD ST, AUGUSTA, GA, 30901",Richmond,245,13,"Richmond, 13"
1349256,"March 17, 2019",Georgia,Rochelle,Dennis St,1,3,0,0,2,,Dennis St,,,,No_Match,,,,,
1348793,"March 17, 2019",Nevada,Las Vegas,600 E Fremont St,0,4,0,0,3,,"36.168777, -115.139430","https://www.google.com/maps?q=36.168777248209,-115.139430122652",36.168777248209,-115.139430122652,Match,"600 E FREMONT ST, LAS VEGAS, NV, 89101",Clark,003,32,"Clark, 32"
